G,R,X,Y,Y_bi,UID,GR,noise_Y_bi,X_count,Y_count,Y_count_resolve,Y_count__Y__full,Y_count_resolve__Y__full,Y__Y__full,Y_count_resolve__Y_count_resolve__full,Y_count__Y_count__full
Male,Black,0.4039904933719645,-0.3475605357751965,0,4,MB,0,0.7564098832177695,-0.11657791101909655,-0.26795651544745364,562,556,505,598,674
Male,White,-0.14650883002019482,0.004997823936323781,0,8,MW,0,-0.16204911017181278,-0.2808886103443442,-0.27442403474828025,508,527,604,444,364
Male,Black,0.7709900423000706,0.3575561836478441,0,12,MB,0,1.1234094321458756,0.588538808403944,0.43716020397558697,853,837,783,884,962
Male,Black,-0.513508378948301,0.7101145433593643,0,14,MB,0,-0.16108898910249606,0.9410971681154644,0.7897185636871072,747,808,700,852,849
Male,Black,-4.00000409376531,-1.4052356149097571,0,21,MB,0,-3.647584703919505,-1.1742529901536571,-1.3256315945820143,7,10,6,15,11
Male,Black,0.5874902678360175,1.4152312627824049,1,23,MB,1,0.9399096576818226,1.6462138875385048,1.4948352831101477,1202,1196,1099,1200,1197
Male,White,0.5874902678360175,1.0626729030708846,1,24,MW,1,0.5719499876843996,0.7767864687902166,0.7832510443862806,984,976,1072,909,868
Male,Black,-2.348506123588832,-1.052677255198237,0,27,MB,0,-1.9960867337430268,-0.8216946304421371,-0.973073234870494,74,105,69,118,98
Male,White,-0.513508378948301,0.004997823936323781,0,32,MW,1,-0.5290486590999189,-0.2808886103443442,-0.27442403474828025,448,491,567,407,305
Male,Black,-2.532005898052885,-1.7577939746212776,0,34,MB,0,-2.17958650820708,-1.5268113498651776,-1.6781899542935348,19,13,16,20,29
Male,White,0.2204907189079114,1.0626729030708846,1,35,MW,0,0.20495043875629346,0.7767864687902166,0.7832510443862806,923,928,1024,848,780
Male,Black,0.2204907189079114,-1.4052356149097571,0,37,MB,0,0.5729101087537164,-1.1742529901536571,-1.3256315945820143,238,217,210,232,292
Male,Black,0.5874902678360175,1.0626729030708846,1,44,MB,1,0.9399096576818226,1.2936555278269846,1.1422769233986274,1061,1065,973,1119,1130
Male,Black,0.7709900423000706,1.0626729030708846,1,47,MB,1,1.1234094321458756,1.2936555278269846,1.1422769233986274,1101,1103,1008,1148,1152
Male,White,-0.3300086044842479,-1.052677255198237,0,53,MW,0,-0.34554888463586586,-1.338563689478905,-1.3320991138828409,205,197,300,131,121
Male,Black,0.7709900423000706,1.0626729030708846,1,58,MB,1,1.1234094321458756,1.2936555278269846,1.1422769233986274,1094,1093,1012,1135,1150
Male,Black,0.03699094444385828,0.004997823936323781,0,64,MB,0,0.3894103342896633,0.23598044869242374,0.08460184426406668,603,638,549,686,697
Male,Black,0.4039904933719645,1.0626729030708846,1,65,MB,1,0.7564098832177695,1.2936555278269846,1.1422769233986274,1033,1041,929,1104,1118
Male,Black,-1.0640077023404604,-1.4052356149097571,0,67,MB,1,-0.7115883124946554,-1.1742529901536571,-1.3256315945820143,117,123,102,137,150
Male,White,-1.4310072512685663,-1.7577939746212776,0,71,MW,0,-1.4465475314201843,-2.043680408901946,-2.037215833305882,44,17,75,8,13
Male,Black,0.4039904933719645,-1.4052356149097571,0,72,MB,0,0.7564098832177695,-1.1742529901536571,-1.3256315945820143,265,231,227,251,326
Male,White,0.4039904933719645,-1.4052356149097571,0,73,MW,0,0.38845021322034656,-1.691122049190425,-1.6846574735943611,214,171,302,107,125
Male,White,-0.14650883002019482,0.7101145433593643,0,75,MW,0,-0.16204911017181278,0.4242281090786963,0.4306926846747603,740,771,840,694,599
Male,White,0.7709900423000706,1.0626729030708846,1,77,MW,1,0.7554497621484526,0.7767864687902166,0.7832510443862806,1025,990,1113,925,904
Male,White,0.5874902678360175,1.0626729030708846,1,80,MW,1,0.5719499876843996,0.7767864687902166,0.7832510443862806,982,972,1073,905,869
