G,R,X,Y,GR,UID,X_count,Y_count,Y_count_resolve
F,W,-2.080063554497868,-1.7082989719136552,FW,1,-2.080063554497868,-1.675068463006079,-1.675068463006079
M,B,-0.224354885232342,-0.08088429010219912,MB,2,-1.1633780725314504,-1.0462887968530776,-0.34774609638087495
M,W,-0.8926027099585143,-0.8130721235616983,MW,3,-1.8316258972576227,-1.6208538551924117,-0.9223111547202089
M,B,1.1335697378912357,0.8939253052993252,MB,4,0.19454655059212733,-0.03612382318209914,0.6624188772901036
M,W,-0.7580865504050219,-0.6421744134150454,MW,5,-1.6971097377041304,-1.520786804002849,-0.8222441035306461
M,B,-0.3872387884226503,-0.4204507596078723,MB,6,-1.3262619757217586,-1.167458713780558,-0.4689160133083553
F,B,-0.8478951540438766,-0.8536699997098316,FB,7,-0.8478951540438766,-0.630752231291218,-0.630752231291218
F,B,-2.176825844833427,-2.1185637210843664,FB,8,-2.176825844833427,-1.6193485152175113,-1.6193485152175113
M,W,0.043197582128812216,0.08428461847932496,MW,9,-0.8958256051702962,-0.9247086779709952,-0.22616597749879236
F,B,-1.8873812478406964,-1.7377095844256225,FB,10,-1.8873812478406964,-1.4040296464663113,-1.4040296464663113
M,W,-0.005752640795652844,-0.18386551812541688,MW,11,-0.9447758280947612,-0.9611229235113242,-0.26258022303912143
F,W,-1.93333505435966,-1.8533045080692199,FW,12,-1.93333505435966,-1.5659166080688358,-1.5659166080688358
M,W,-0.8375488507270166,-0.4824549916581807,MW,13,-1.776572038026125,-1.5798990928189698,-0.8813563923467671
M,W,-1.0493524147130049,-1.0530050347887792,MW,14,-1.9883756020121133,-1.7374605200100977,-1.038917819537895
M,B,0.5538977216379124,0.2720362225326852,MB,15,-0.385125465661196,-0.4673439049635105,0.23119879550869224
F,W,-1.0775769961271575,-0.9664152702397109,FW,16,-1.0775769961271575,-0.9293151342884362,-0.9293151342884362
F,W,-1.1658924275984566,-0.8852503973868961,FW,17,-1.1658924275984566,-0.9950132989639779,-0.9950132989639779
M,W,0.5511574268090103,0.5348529993847247,MW,18,-0.38786576049009813,-0.5468355365686612,0.15170716390354155
M,W,-0.17021312536148486,-0.0011788743998494278,MW,19,-1.1092363126605933,-1.0834656649509875,-0.3849229644787847
F,W,0.8111554651660822,0.4231975688535297,FW,20,0.8111554651660822,0.4757196846877988,0.4757196846877988
M,B,-0.3443124085529111,-0.1137871413043165,MB,21,-1.2833355958520194,-1.1355256265881628,-0.43698292611596024
F,W,-2.6907499072069103,-2.3692437926546317,FW,22,-2.6907499072069103,-2.1293602203692674,-2.1293602203692674
F,B,-0.8610102884884421,-1.0243173407315118,FB,23,-0.8610102884884421,-0.6405086266133758,-0.6405086266133758
M,B,1.983600158464192,1.4360456189433368,MB,24,1.0445769711650836,0.596216840501019,1.2947595409732218
M,B,-0.41758382849909664,-0.2412086716518865,MB,25,-1.356607015798205,-1.1900324973970282,-0.4914897969248253
M,W,0.6194233684538545,0.5487694723960899,MW,26,-0.3195998188452539,-0.49605225893307126,0.2024904415391316
M,W,-0.012622948934159505,-0.08233702790938457,MW,27,-0.9516461362332679,-0.9662337702561766,-0.26769106978397383
M,W,0.8358829366334422,0.7909747457184455,MW,28,-0.10314025066566623,-0.33502721360471543,0.36351548686748736
M,B,0.2790551436318573,0.16722549177055632,MB,29,-0.659968043667251,-0.6718002796748809,0.02674242079732192
M,W,-0.36185408438197936,-0.20065837463475375,MW,30,-1.3008772716810877,-1.2260280583465164,-0.5274853578743137
