G,R,X,Y,GR,UID,X_count,Y_count,Y_count_resolve
F,B,-1.3545993950223143,-1.4701708502044122,FB,1,-1.3545993950223143,-1.080926618226316,-1.080926618226316
F,W,-2.8720933439990355,-2.413595010817186,FW,2,-2.8012803395893924,-2.4367150605300303,-2.493221553641006
M,B,-0.7362055902833275,-0.5535285415249975,MB,3,-1.7087081676605589,-1.5188753064648155,-0.742849622381714
M,W,-0.3160210707558985,-0.1713138609030262,MW,4,-1.2926245870216484,-1.3571229632735569,-0.5778248622525708
F,W,-0.2114206290265841,-0.16092817736222706,FW,5,-0.1406076246169411,-0.31358406654724713,-0.37009055965822313
M,W,0.3681967011842385,0.3969188004996097,MW,6,-0.6084068150815114,-0.8111392539412388,-0.0318411529202528
M,B,0.1484891215119513,-0.2424596431197939,MB,7,-0.8240134558652802,-0.8129174664586764,-0.036891782375574736
F,W,-1.4467948228722798,-1.1678353672929251,FW,8,-1.3759818184626367,-1.2993728204066064,-1.3558793135175824
M,W,-0.16780985525908068,-0.20563294807323407,MW,9,-1.1444133715248306,-1.238855194559879,-0.4595570935388929
F,W,-1.5154194734142783,-1.088107773133943,FW,10,-1.4446064690046354,-1.3541330777268923,-1.410639570837868
F,W,-1.163577019028332,-1.0694266579722458,FW,11,-1.0927640146186892,-1.0733741494670854,-1.1298806425780612
M,B,0.22085411064130872,-0.026571396242395767,MB,12,-0.7516484667359227,-0.7551725396079656,0.02085314447513592
M,W,0.15437892443676618,0.1730160496988114,MW,13,-0.8222245918289838,-0.981758942083435,-0.20246084106244883
M,W,0.1030113905943765,0.0744187132801361,MW,14,-0.8735921256713735,-1.0227485769872402,-0.24345047596625408
M,W,0.020468035310178337,-0.06997210451472961,MW,15,-0.9561354809555715,-1.0886155116782392,-0.30931741065725316
F,W,-0.14851278535759949,-0.4230075203452793,FW,16,-0.07769978094795649,-0.2633856366890195,-0.31989212979999543
M,B,0.3865063951794734,0.15942391869048206,MB,17,-0.5859961821977581,-0.6229873604433521,0.15303832363974948
F,B,-2.435310178129281,-2.5310286474684776,FB,18,-2.435310178129281,-1.9432989597149846,-1.9432989597149846
M,B,-0.2136690712187231,-0.29292155232736816,MB,19,-1.1861716485959546,-1.101908021134713,-0.3258823370516114
M,W,-0.8339723137743262,-0.6227255689683561,MW,20,-1.8105758300400763,-1.7704313462385466,-0.9911332452175603
M,W,-0.15291228178707938,-0.12598828890625546,MW,21,-1.1295157980528292,-1.226967411520818,-0.447669310499832
F,B,-0.16362417391542142,-0.5289365070282503,FB,22,-0.16362417391542142,-0.13056681231395173,-0.13056681231395173
M,B,-0.6349419266389947,-0.8310806384748749,MB,23,-1.6074445040162262,-1.4380701696143945,-0.6620444855312928
M,B,-0.2505159796744205,-0.42692366982107227,MB,24,-1.223018557051652,-1.131310665411293,-0.3552849813281914
F,W,-0.21183750501606893,-0.1488294868245371,FW,25,-0.14102450060642593,-0.31391672013855204,-0.370423213249528
F,B,0.6659542641102315,0.14010571637092667,FB,26,0.6659542641102315,0.5314100192597601,0.5314100192597601
F,W,-1.2430450743629546,-1.05869340573241,FW,27,-1.1722320699533118,-1.1367870940066482,-1.193293587117624
F,W,-0.9827379544866216,-1.0044494583916896,FW,28,-0.9119249500769786,-0.9290704097809609,-0.9855769028919368
M,W,0.7419032212119416,0.6302746069431763,MW,29,-0.2347002950538083,-0.512933506628015,0.26636459439297105
F,B,-1.1860891600879324,-1.1827859834407146,FB,30,-1.1860891600879324,-0.9464608868422096,-0.9464608868422096
M,W,1.518572032295395,1.2671234658451234,MW,31,0.5419685160296451,0.1068231494957399,0.8861212505167257
M,W,-0.3148222237352503,-0.26039025747030936,MW,32,-1.2914257400010003,-1.3561663220255527,-0.5768682210045666
M,B,-0.2906297633243139,-0.4121912900463534,MB,33,-1.2631323407015453,-1.163320170704352,-0.38729448662125043
F,W,-0.9427193504132028,-0.6051552494785442,FW,34,-0.8719063460035598,-0.8971368547194617,-0.9536433478304377
F,B,-0.5404812105314051,-0.9229105585088722,FB,35,-0.5404812105314051,-0.43128657022983047,-0.43128657022983047
M,W,-0.008200982664637563,-0.030996257563333688,MW,36,-0.9848044989303875,-1.111492463167559,-0.3321943621465728
M,B,-0.8916871574269623,-0.9715081432335526,MB,37,-1.8641897348041936,-1.6429445812531218,-0.8669188971700202
F,W,-1.5126985744978976,-1.4504227454710998,FW,38,-1.4418855700882545,-1.351961888167066,-1.408468381278042
M,B,-0.014250188378629429,-0.3079970805121242,MB,39,-0.9867527657558609,-0.9427781858262736,-0.16675250174317208
F,B,-0.5860413033969428,-0.5721823496706417,FB,40,-0.5860413033969428,-0.4676420545805461,-0.4676420545805461
M,B,-0.2888133364739979,-0.5181504992426366,MB,41,-1.2613159138512293,-1.1618707206752272,-0.3858450365921256
F,W,-1.2092981137675811,-1.1768242164953508,FW,42,-1.138485109357938,-1.1098581081191465,-1.1663646012301225
M,W,0.9366185775428362,0.6226715411299706,MW,43,-0.039984938722913754,-0.35755693373945346,0.4217411672815326
M,W,-0.23723911642636195,-0.12543865624761624,MW,44,-1.213842632692112,-1.2942575052026242,-0.5149594041816381
M,B,-0.02503317975510277,-0.2548545977282958,MB,45,-0.9975357571323342,-0.9513826650883825,-0.17535698100528105
M,W,0.7365947848604494,0.4630284983296178,MW,46,-0.24000873140530055,-0.5171694675878187,0.26212863343316745
F,W,-1.6355500354862038,-1.4785235416105105,FW,47,-1.564737031076561,-1.449993390881612,-1.5064998839925878
F,W,-0.6417183956393984,-0.6157681465579501,FW,48,-0.5709053912297554,-0.6569478030174409,-0.7134542961284169
F,W,-0.9032206277657286,-0.7801198075089595,FW,49,-0.8324076233560856,-0.8656181482646356,-0.9221246413756116
M,B,-0.4557780015211934,-0.3959102990744425,MB,50,-1.4282805788984247,-1.2951031371490154,-0.5190774530659139
M,B,0.7689296727041812,0.4791550710203968,MB,51,-0.20357290467305023,-0.31782592184770225,0.4581997622353994
F,W,-0.05866791206302133,-0.056381831042305784,FW,52,0.012145092346621672,-0.1916923261706869,-0.24819881928166287
M,B,0.003751386325342082,-0.3581757159526918,MB,53,-0.9687511910518893,-0.928413509938321,-0.1523878258552194
M,W,-1.867950427387229,-1.4814940170148303,MW,54,-2.8445539436529788,-2.5955125250539326,-1.816214424032947
M,B,0.09664975556993656,-0.021493175914847187,MB,55,-0.8758528218072948,-0.8542836081568094,-0.07825792407370785
M,B,-0.20462257735818756,-0.24193672087111898,MB,56,-1.177125154735419,-1.094689210871393,-0.3186635267882916
F,W,-0.8489669640447277,-0.7760309353412198,FW,57,-0.7781539596350847,-0.8223254748234494,-0.8788319679344254
M,B,-0.6557879375956205,-0.6258068749301763,MB,58,-1.628290514972852,-1.4547046138712392,-0.6786789297881375
M,B,-0.05737272119052486,-0.2779004960682281,MB,59,-1.0298752985677564,-0.9771885758891953,-0.2011628918060937
M,B,-1.5138415914022836,-1.3854198867753271,MB,60,-2.486344168779515,-2.139403749035619,-1.3633780649525171
M,W,-1.4045011175901143,-0.9125682996058084,MW,61,-2.3811046338558643,-2.225694926582273,-1.4463968255612871
M,W,-0.594065222351337,-0.5345690858906633,MW,62,-1.570668738617087,-1.5789932266193571,-0.7996951255983709
F,W,-1.2664977436096296,-1.1832024728333574,FW,63,-1.1956847391999865,-1.1555015674888771,-1.212008060599853
F,B,-0.23319486707462006,-0.5421742816959481,FB,64,-0.23319486707462006,-0.18608198112369012,-0.18608198112369012
M,B,-0.7796862958818381,-0.7693992576727697,MB,65,-1.7521888732590696,-1.5535715068569012,-0.7775458227737996
M,W,0.6490948977498902,0.6641760840993892,MW,66,-0.3275086185158598,-0.5869915547799092,0.19230654624107685
M,W,-0.3045035360475012,-0.27771402054509603,MW,67,-1.281107052313251,-1.347932342128737,-0.568634241107751
M,B,0.6267461383115461,0.2670090689049275,MB,68,-0.3457564390656853,-0.43128379549156615,0.34474188859153554
M,B,0.11010487263569056,0.10118606203688256,MB,69,-0.8623977047415409,-0.8435468587966894,-0.06752117471358793
M,B,-0.7048982134405627,-0.7737833664470177,MB,70,-1.6774007908177941,-1.4938930297115993,-0.7178673456284977
M,B,0.4389483271788083,0.12592758507765942,MB,71,-0.5335542501984232,-0.5811403904700917,0.1948852936130099
M,W,0.12600792975238695,0.11556968837147605,MW,72,-0.850595586513363,-1.004398080601135,-0.22509997958014888
M,W,0.4523980338635707,0.6064645706211642,MW,73,-0.5242054824021792,-0.7439493067748146,0.03534879424617143
M,W,-0.12055434018586846,-0.015304620232553634,MW,74,-1.0971578564516185,-1.20114681798129,-0.42184871696030407
F,B,0.279498039006206,-0.03550072656079903,FB,75,0.279498039006206,0.22303041859758727,0.22303041859758727
F,W,-0.6564239418683879,-0.7506277109859537,FW,76,-0.5856109374587449,-0.6686823545113242,-0.7251888476223002
M,W,0.5754876337969159,0.6258119371810893,MW,77,-0.401115882468834,-0.6457277768644242,0.1335703241565619
F,W,-1.139001852259972,-1.138614077280522,FW,78,-1.0681888478503292,-1.053763959174011,-1.1102704522849869
