G,R,X,Y,GR,UID
F,W,-1.328713959913513,-1.2032808936132238,FW,1
M,W,-0.3329733998137131,-0.3223610904562032,MW,2
F,W,-0.8623260436386447,-0.9491034609684192,FW,3
M,B,0.5206732225153735,0.5505089851948777,MB,4
M,W,0.13222199972153872,0.2031068289140063,MW,5
F,B,-2.1624335126103276,-1.8820891419730952,FB,6
F,B,-0.2287622226397319,-0.12228681195412038,FB,7
F,B,-0.594736215136612,-0.7169249112274848,FB,8
F,B,-1.0345359051968193,-0.9648490096123288,FB,9
M,B,0.29676786739599603,0.19046216325208243,MB,10
M,W,0.4195950156774248,0.38751172327561445,MW,11
M,B,1.1282165256677537,0.9375438093622236,MB,12
F,W,-1.5085212231712009,-1.1637956310685738,FW,13
M,W,-0.3848395604828341,-0.36964445185144745,MW,14
M,W,0.25311431773628823,0.03954018061116599,MW,15
M,W,1.0932034943990265,0.8344161110506104,MW,16
M,B,-0.7863269235030544,-0.8761074951892006,MB,17
F,W,-1.8568891191531285,-1.6398870998637127,FW,18
F,B,0.056658761102619026,-0.12236327519998452,FB,19
F,W,-0.04428241417045553,-0.2890324473505313,FW,20
M,W,0.14104124821996475,0.0734076536200695,MW,21
M,B,-0.3437011883249565,-0.35190510627653326,MB,22
M,W,0.4642543983612757,0.11917934609229075,MW,23
F,B,-1.7983712595498944,-1.7033508079202864,FB,24
F,W,0.4805883153145034,0.4694031810946213,FW,25
F,W,-0.6631325731577713,-0.5812946451973218,FW,26
F,B,-0.9941270890230453,-1.0192815482321307,FB,27
M,B,0.8239506799867572,0.6990694385018014,MB,28
F,W,-0.2053197792096464,-0.2529173007380194,FW,29
F,W,0.5514175516106805,0.309773930030116,FW,30
M,W,0.4662211343465789,0.4710575198282955,MW,31
M,B,-0.3410782139140724,-0.41157899583800206,MB,32
M,B,0.27781997270465114,0.23461231928386655,MB,33
F,W,-1.8105847471818712,-1.4383873038695387,FW,34
M,W,0.37768195534787957,0.38120957069822614,MW,35
F,B,-0.3899728949089596,-0.31358763020010844,FB,36
M,W,-0.15006919717522646,-0.14588809810911157,MW,37
M,W,-0.10475783648869497,-0.0798250357302709,MW,38
F,W,-0.1847794657269256,-0.2685774191016317,FW,39
F,B,-1.9151531359668257,-1.7649038968887842,FB,40
F,W,-0.07403351815597525,-0.3311631237326441,FW,41
M,W,-0.43535417936744886,-0.27982494606121294,MW,42
M,B,-0.7268622940831809,-0.697662525870572,MB,43
M,W,-0.31098218692105095,-0.18321742257465803,MW,44
F,W,0.07165338582206848,-0.023512946682645655,FW,45
M,W,0.3466143607701999,0.18784285734326367,MW,46
M,W,-0.34390403953161885,-0.3197816478268068,MW,47
M,B,-1.8967311884969529,-1.4583821742004395,MB,48
M,W,0.6066034865596796,0.5551348803417402,MW,49
M,W,-1.2411173602620507,-1.0143690918869033,MW,50
M,W,-0.14117667222332997,-0.1288158964485015,MW,51
M,B,0.9665363373504698,0.6069683797349317,MB,52
F,W,-1.71199232110038,-1.554638693749433,FW,53
M,W,-0.7362657838628867,-0.6735472542953871,MW,54
F,B,1.120802589365276,0.6126556353268315,FB,55
F,W,-0.15279014003268632,-0.23960527654929256,FW,56
M,B,0.5125370428321347,0.3409655584988158,MB,57
M,W,-0.3755683199355593,-0.23594708926369806,MW,58
M,W,-1.3853609656239676,-1.0686458445470592,MW,59
F,W,0.9099887397067328,0.6352299036826912,FW,60
M,W,-1.106060970440335,-0.9102276301283512,MW,61
M,W,0.62934219515757,0.6693378321708481,MW,62
M,W,-0.7438374748525367,-0.5664819530961969,MW,63
M,W,0.5548257540149274,0.40803010635348835,MW,64
M,W,-0.8086812466054042,-0.7712743170297915,MW,65
F,B,-1.0073412134610644,-1.1769671435194213,FB,66
M,B,-0.902034220451836,-0.8092721912578166,MB,67
M,W,-0.019599288736645605,0.010206582320228204,MW,68
M,W,0.8638413583971043,0.6611766034910613,MW,69
M,W,0.324562418510785,0.30882385819700126,MW,70
M,W,1.0356099161832633,0.8260463827676957,MW,71
F,W,-1.3970736738350786,-1.1055843777649894,FW,72
M,B,-0.5151209602985845,-0.3671215076116312,MB,73
M,B,0.09661906474599596,-0.0015804224333388073,MB,74
F,W,-0.8035258377219112,-0.882034493487905,FW,75
M,W,0.23508211543315916,0.06159796652881555,MW,76
F,B,-2.1605817595676626,-1.7182938910022107,FB,77
M,B,1.8880512159883098,1.4479352999722015,MB,78
M,B,0.6671003927805654,0.5503150224908967,MB,79
M,W,-0.7988815055418562,-0.718055808135739,MW,80
M,W,-1.4764345454281418,-1.1863102441954272,MW,81
F,W,-1.6820717811223407,-1.5089000567654107,FW,82
F,B,1.2946163866137468,0.6265726050618396,FB,83
F,B,-1.5515425368890794,-1.4926792186508684,FB,84
M,W,-0.9299318968347435,-0.8564343394315905,MW,85
F,W,-1.5850966094093808,-1.2619444130496378,FW,86
M,B,0.31788771759701967,0.1205713128802422,MB,87
F,B,-0.5683862441642997,-0.6991159154748977,FB,88
F,W,-0.6108967447895277,-0.5992907824573728,FW,89
F,W,0.7924876667507768,0.5699153481020155,FW,90
F,B,-1.9229723342079827,-1.6746365616008174,FB,91
M,B,-0.4449814491360859,-0.2782350099520854,MB,92
M,B,1.3711232423507884,0.8662075113368599,MB,93
M,W,0.6030340536972559,0.42577446314930795,MW,94
M,W,-0.597513341108245,-0.41788073149634664,MW,95
M,B,-0.37325693134262034,-0.07299646830273698,MB,96
