G,R,X,Y,GR,UID
M,B,0.607606360783617,0.5080140901469035,MB,1
M,B,0.23065465201570742,0.21728636632901085,MB,2
M,B,0.03878833607184267,-0.024346953990757134,MB,3
M,W,-0.4731139933097005,-0.4290881882208756,MW,4
F,W,-1.3626456228823964,-1.2883830671461913,FW,5
M,B,-1.0221256600445814,-0.7214597605621338,MB,6
M,B,0.8069884863972892,0.4418690134095301,MB,7
M,W,0.5560498614687582,0.3668613918782948,MW,8
M,W,1.4615037414970176,1.3519526416324068,MW,9
M,W,0.1108950991621892,0.009989052794942749,MW,10
M,B,-0.6734935379624997,-0.4627316917443284,MB,11
M,B,-0.3522386620637732,-0.542658777045879,MB,12
M,B,-0.9839997096834587,-0.7558306713765336,MB,13
F,B,-2.429469876858761,-2.1601364574464785,FB,14
M,B,-0.4180098284197268,-0.27072243557327524,MB,15
M,B,-0.39824523646575066,-0.3842835784769445,MB,16
M,B,0.6009139551402013,0.2732278282102524,MB,17
F,B,0.8365240015554949,0.6577741008417327,FB,18
M,W,-0.7181833580199372,-0.5707973403599966,MW,19
M,B,-0.021607996212464186,-0.21980960486279905,MB,20
M,B,-0.18170635306559987,-0.09141423387174359,MB,21
M,W,-0.8398912109941892,-0.5179432346090425,MW,22
M,W,-0.19917475010716404,-0.045693589595901835,MW,23
F,W,-0.6593967923770647,-0.5711039080872317,FW,24
M,W,-0.9461860751385497,-0.6505184815353442,MW,25
M,B,0.4043102249488766,0.16575434913948534,MB,26
M,B,0.29707275056093496,0.12639835733646965,MB,27
M,W,1.202720120830572,1.0768265690649728,MW,28
M,B,-0.667676745058292,-0.7951128359241426,MB,29
M,B,-0.43815035195197555,-0.5431850978071247,MB,30
M,W,-0.8112114601749945,-0.8214279790317718,MW,31
M,B,0.37157890284927364,0.295768793703484,MB,32
M,W,-0.7159209766706972,-0.5470130864616747,MW,33
M,B,0.37114972832338183,-0.012239849827179294,MB,34
M,B,-0.24635595541121352,-0.13329278812966702,MB,35
M,B,0.6035482873996446,0.19829416267327993,MB,36
M,B,0.5100623348187477,0.4392221519345427,MB,37
M,B,0.07476942197777108,0.007815122077389443,MB,38
F,B,-0.40128552653351823,-0.504633881035662,FB,39
M,B,0.3879780104460649,0.06525895156645711,MB,40
M,W,0.21354161579737052,0.15184864962124167,MW,41
M,W,1.3713262400705204,1.140519400874872,MW,42
M,W,-0.16559580317051562,-0.02954617451673272,MW,43
F,B,-0.7241933719551039,-0.9582987139901319,FB,44
M,W,0.24548103429885365,0.2692308220590178,MW,45
M,W,-0.36753851549286726,-0.058988237735549176,MW,46
M,B,-0.5905066467724833,-0.6337253272362875,MB,47
M,B,-1.199959532163825,-1.2500612003951366,MB,48
M,W,-0.34658406695256616,-0.40976989349859155,MW,49
F,W,-2.0978333339355313,-1.8012622280762756,FW,50
M,B,-0.323634222807897,-0.21783123781678052,MB,51
M,W,-0.9064999264553522,-0.7527836814003844,MW,52
M,B,0.41332962015819047,0.2452417284691188,MB,53
M,W,0.46082025778418534,0.3586271681009514,MW,54
F,W,-1.054280720572063,-0.9019654260062211,FW,55
M,W,-0.2402354239160451,-0.1300489140272213,MW,56
M,W,-0.4179957229079488,-0.2705236524388558,MW,57
M,B,0.8809650855782344,0.47706202387698754,MB,58
M,W,0.46274043805891407,0.2651387091988592,MW,59
M,B,-0.5976829013480817,-0.6042284110105814,MB,60
M,W,0.3300476479035778,0.24412044958885604,MW,61
M,B,-0.4939115080198869,-0.37941341149997865,MB,62
M,B,-1.0769382932554465,-0.9035139878067983,MB,63
M,W,0.8415357517024686,0.4307195307056116,MW,64
M,W,0.2777088883244009,0.1407554643820268,MW,65
M,B,-0.4731765773509058,-0.5298641689401321,MB,66
M,B,-0.08072215933037087,-0.23047397002405512,MB,67
M,W,0.23579241847609705,0.25953976650658084,MW,68
M,W,0.41297590454921546,0.4366467530226517,MW,69
M,B,-0.21072960594275933,-0.2237467205758678,MB,70
M,B,0.7132718891899669,0.5034751477842353,MB,71
M,W,0.010859044869975873,0.11563754001218457,MW,72
M,B,-0.13623774927279084,-0.1479028793433328,MB,73
M,B,-0.49086631194620156,-0.5689669551533516,MB,74
F,B,-0.5252181969476806,-0.5375315835949772,FB,75
M,W,0.7279373366740607,0.6122489721114679,MW,76
M,B,-1.9102524650975443,-1.5615412325968825,MB,77
M,W,-0.6665359509037512,-0.49507027838310835,MW,78
M,B,-0.6276504517325278,-0.5868619931728773,MB,79
F,B,-1.3154454069977157,-1.301845781579598,FB,80
M,B,0.28897316644722126,0.11273648021689457,MB,81
M,B,-0.04452491406672342,-0.29070501119110487,MB,82
M,W,0.27793485555449604,0.24674630596887862,MW,83
M,B,0.21772073468398787,0.19783966034602132,MB,84
M,B,-0.07058298063510524,-0.022286786529759857,MB,85
M,B,0.22650520350193018,0.21427542836394464,MB,86
F,B,-2.2830813111352697,-2.059738629685489,FB,87
M,W,0.16332918785497966,0.04166097839129215,MW,88
F,W,-1.7244111846661396,-1.4016429187830541,FW,89
F,B,-2.174022861274455,-1.9914599213770505,FB,90
M,B,0.7886227245396005,0.6854485204021323,MB,91
M,B,0.11652767932799055,0.0970075744228072,MB,92
M,W,0.5588126473419667,0.45723032883485615,MW,93
M,B,0.21259292143222375,0.11550743137331154,MB,94
M,B,-0.8125300248733784,-0.5046004461536843,MB,95
M,B,0.07845306723044167,-0.08882638391354185,MB,96
M,B,0.18264317396076432,0.14053667812705664,MB,97
M,B,0.5067776422762238,0.4379628118910459,MB,98
M,B,0.6436501281165029,0.3466196846093029,MB,99
M,W,0.4119905176697216,0.43593675268679244,MW,100
M,W,-0.5973256464982207,-0.6963561813975946,MW,101
M,B,-0.03708426970093914,-0.27474660158210834,MB,102
M,B,0.6000990607369596,0.5338245447243467,MB,103
M,W,1.356055527065218,0.960332611125609,MW,104
M,W,-0.6031355661754868,-0.4086792141914989,MW,105
M,B,-0.16115733262201215,0.16301739718800354,MB,106
M,B,-0.1566373894086605,-0.14865019951818942,MB,107
M,B,0.007680014501214286,0.06065820334432268,MB,108
M,B,1.1066639191700165,0.8303617754750224,MB,109
M,B,-0.44505191649948567,-0.38102671280954387,MB,110
M,B,-1.1108380224077805,-0.8788086507023269,MB,111
M,B,-2.554205894229115,-2.083585351415847,MB,112
M,B,0.16046142005235592,-0.09277806985658824,MB,113
M,W,-0.05477927257927259,-0.007990920639846112,MW,114
M,W,0.8703210277381296,0.8222308906199609,MW,115
F,B,-0.8155237993354485,-0.6738121934215995,FB,116
M,W,0.24901144888303778,0.08844342430648988,MW,117
M,W,-1.4725036085604872,-1.0552164682979817,MW,118
M,B,0.2849313942549358,0.2496498474332453,MB,119
M,W,-0.14357860063929587,-0.29249544388293036,MW,120
M,B,0.056450369313017605,0.005467564644287971,MB,121
M,B,0.635669437682246,0.38443514997871037,MB,122
M,W,1.3501932701479293,1.0312344379674616,MW,123
M,B,-0.2520026300546226,-0.3613477844347597,MB,124
F,W,0.43738368694596685,0.11707361685259107,FW,125
M,B,0.9885515867946427,0.5484396833819837,MB,126
M,B,-1.1373419598781833,-1.2472861703909714,MB,127
M,W,0.3840247126200392,0.2402591177580528,MW,128
M,W,-0.3227296739324879,-0.27292126462237903,MW,129
F,B,-1.2574393548850948,-1.313803186039759,FB,130
M,B,0.627098543816332,0.33218301899675073,MB,131
M,B,-0.20023606323739485,-0.42805751344395404,MB,132
M,W,0.38644084529251616,0.3087998339458777,MW,133
M,W,-0.951732962719342,-0.572855824952806,MW,134
M,B,-0.534592468931478,-0.7191714394854124,MB,135
M,B,1.7838871675515193,1.4193722359460723,MB,136
M,B,1.1104347921062028,1.0173757650926907,MB,137
M,B,0.39025032320435,0.23216718865015631,MB,138
M,B,0.6959321181581305,0.6191169292993043,MB,139
M,B,0.5507513531704292,0.3784699460644452,MB,140
F,B,-1.6861664938568426,-1.5961580100150587,FB,141
M,W,0.060515733940988324,0.10713509593099324,MW,142
M,B,0.46844426945047946,0.3318497030095045,MB,143
M,W,0.09306134208998551,-0.02792866135047334,MW,144
M,B,-0.19876500978412773,-0.5708662861192592,MB,145
M,W,-0.6033751209423556,-0.3791322684916965,MW,146
M,W,0.5963859573716294,0.5074683471519327,MW,147
F,B,-0.9933986795644073,-1.1421403654479547,FB,148
M,B,-0.16491814619563416,-0.064518195751898,MB,149
M,B,1.0076813711091817,0.4296849590849401,MB,150
M,W,-0.18710004037950742,-0.02058929180917954,MW,151
F,B,-1.106375911382255,-1.1447990135299593,FB,152
F,B,-2.299665187788163,-2.208684720371067,FB,153
M,W,0.5388507449211528,0.24187062855281113,MW,154
M,B,0.5431181314096909,0.3919721361304239,MB,155
M,B,-0.9106728199782416,-0.796682570091363,MB,156
F,B,0.650183922207983,0.4801351351284399,FB,157
M,B,-0.5782638507264583,-0.446537213181713,MB,158
M,B,-1.3791296397491664,-1.2306171882504366,MB,159
M,W,0.062195209087444414,-0.033775384965107305,MW,160
M,B,0.40667502531435173,0.21359908322273904,MB,161
M,B,0.4572667362624704,0.2595331031167761,MB,162
M,B,-0.7021002804229686,-0.5160402714612667,MB,163
M,W,-0.13979946839148774,-0.018758585589637916,MW,164
M,W,0.7657035822677017,0.2855635656681352,MW,165
M,B,0.770852117003155,0.6112172308450345,MB,166
M,B,-0.003106022453870962,-0.04606099418746573,MB,167
M,B,-1.079143473975947,-0.9073804444028419,MB,168
M,B,-0.5507829002077732,-0.5611719447875398,MB,169
M,B,1.56775578456585,1.2430270382991262,MB,170
M,B,1.2871747898777304,1.0511973618538775,MB,171
M,W,-0.5709001000966732,-0.658429273440071,MW,172
M,B,1.654750750879644,1.1682200769609947,MB,173
M,W,-0.5956130849300987,-0.2720049414659221,MW,174
M,B,-0.6495756172203908,-0.6953034847642451,MB,175
M,B,0.22314697209990625,-0.15421150436122874,MB,176
M,W,0.6448917897220533,0.622577856013431,MW,177
M,W,-0.08292293198310477,-0.056508287234452205,MW,178
M,W,0.35138904971614615,0.2627018093451108,MW,179
M,W,-1.1415592401121588,-0.7005964665145384,MW,180
M,B,-0.326656716071207,-0.18868577797485248,MB,181
M,B,-0.1468626955421612,-0.31081427929036254,MB,182
M,B,-0.43755473048154464,-0.4044402903961542,MB,183
M,B,-0.6316648465103231,-0.40468789745846584,MB,184
F,B,-2.31323542091633,-1.8302981605795798,FB,185
M,W,-0.15496709675684758,-0.2156415168460632,MW,186
M,B,0.5377846805083386,0.5488864918111857,MB,187
M,W,-0.36110257613871927,-0.3895573346968749,MW,188
M,W,0.5575494768014624,0.6565499332782057,MW,189
M,B,0.03013745957515832,-0.07386456326924164,MB,190
M,W,-1.1877384994333022,-0.8938753839254066,MW,191
M,B,-0.1345314403430131,-0.15357117978565898,MB,192
F,W,-2.2390197185498195,-2.1375798801491377,FW,193
M,B,-0.19198100490549422,-0.14597257393758234,MB,194
F,W,-1.4673201723186158,-1.5456780886423915,FW,195
M,B,-0.04679774462429164,-0.07855658622168102,MB,196
M,W,-0.09434093297355851,0.01608360937712,MW,197
M,W,-1.036889455838282,-0.8794246830482906,MW,198
M,W,-0.8438636656678231,-0.4832451681275151,MW,199
M,B,-0.3383085511278279,-0.26427625229242474,MB,200
M,B,0.22871259908671263,0.11884823746976307,MB,201
F,W,-0.34807908775076435,-0.3370543807153221,FW,202
M,W,-1.0666429043203731,-0.7771677086853503,MW,203
M,B,0.5724972937604432,0.32045610186300544,MB,204
M,W,-0.003769463723732592,-0.13601809777665422,MW,205
M,B,1.0357513383587527,0.8788767106301005,MB,206
F,W,-2.100744846620367,-1.67206023712859,FW,207
F,W,-0.5427664445539423,-0.6273369709024321,FW,208
M,W,0.22426208593441335,0.2982304146123326,MW,209
M,B,-0.499870002328538,-0.4698075348442535,MB,210
F,B,-0.46454555837783784,-0.5076178853761634,FB,211
M,B,-0.27129406987459315,-0.4318664448468565,MB,212
M,B,1.1352599881253937,0.7851378975169884,MB,213
M,B,0.3537702289349778,0.3149496266413863,MB,214
M,B,0.666200198546691,0.461923207567531,MB,215
M,B,0.6919970347731821,0.4840820256533337,MB,216
M,B,0.2961249028841405,0.15966668358589492,MB,217
M,B,1.955857501593878,1.4421047400270648,MB,218
M,B,1.268774487535376,0.7217776311323818,MB,219
M,B,-0.9404451925289036,-1.0823692332398924,MB,220
M,W,-0.6141013438904077,-0.4808954506883873,MW,221
M,B,-0.859531241848261,-0.8396444816726988,MB,222
M,B,0.2901668181001582,0.29412727377532394,MB,223
M,B,0.386721036887658,0.19369044105097633,MB,224
M,W,0.3385753549805536,0.24774957501987543,MW,225
M,B,-1.4050650583555884,-1.0494498672237473,MB,226
M,W,-0.46333186162567036,-0.17894422332858834,MW,227
M,B,1.280304678815234,1.1956307062215488,MB,228
M,B,-0.8245216751456166,-0.7463524730470157,MB,229
M,W,-1.0179764314795823,-0.8853758760517287,MW,230
M,W,-0.3950588557858751,-0.2531344786655506,MW,231
F,B,0.43858398764572293,0.057866333375605206,FB,232
