G,R,X,Y,GR,UID
M,W,0.1930719600541586,0.21635830012329313,MW,1
F,B,-0.5120982713642543,-0.6638322868180901,FB,2
M,W,0.08864911583959685,0.05132497959761541,MW,3
M,B,0.2763219358355946,0.0162009645452236,MB,4
M,B,0.48053266492836566,0.2817095367231516,MB,5
M,B,1.431215048783916,0.864969119715008,MB,6
F,W,-0.7510510273480829,-0.9634039928593569,FW,7
F,B,-1.4949518808488846,-1.2986780326625902,FB,8
F,W,0.5069850463162177,0.053422494809463206,FW,9
M,W,1.4047347740940244,1.115094678969619,MW,10
M,W,-0.3448863016356087,-0.19478010015999642,MW,11
M,W,1.096224701309974,0.8938989890405307,MW,12
M,W,0.45271947281748,0.3559484786357588,MW,13
F,W,-1.0382566180887616,-0.8209129156391587,FW,14
F,W,-0.3508173365960031,-0.4060293213782773,FW,15
F,W,0.512439179282061,0.35743736223011907,FW,16
M,W,-1.05848865095488,-0.9075396454253545,MW,17
F,W,-0.9412717572125818,-0.833285644069117,FW,18
F,W,-1.9026486197502965,-1.686932509837479,FW,19
F,W,-2.0174589859230134,-2.0020528538355444,FW,20
M,W,-0.6398561911061916,-0.6650494811909616,MW,21
M,W,-0.4491901702128508,-0.4776462951212973,MW,22
M,W,-0.2329250446306795,-0.10615205891559408,MW,23
M,B,1.263307012045308,0.7189679650910481,MB,24
F,W,-2.075482114925475,-1.815743013175887,FW,25
M,W,0.6004801195039794,0.37749418452886996,MW,26
M,B,-0.3105524244564,-0.5631209065068402,MB,27
M,B,-0.5956940975984597,-0.6606694090815872,MB,28
M,B,0.02502435097738838,-0.12377322892468112,MB,29
M,W,-0.1471651240094512,-0.06579353080367809,MW,30
M,W,-0.030977503967135646,-0.12431902555409687,MW,31
M,W,-0.32092982545104365,-0.2107889620874273,MW,32
M,W,-1.0073228707986808,-0.8223807031920078,MW,33
M,B,-0.16882550101885807,-0.15394693083771,MB,34
F,B,0.3445520879979568,-0.04956039667148815,FB,35
F,W,-1.3876973408863458,-1.2024551243874475,FW,36
M,W,-0.7999391238648106,-0.7930412054515807,MW,37
F,W,-1.549933430419187,-1.53849616586673,FW,38
M,B,-0.05583941152873949,-0.39069313902054986,MB,39
M,W,-0.22230399744150864,-0.33862875380613666,MW,40
M,W,1.0488722424846872,0.8305457862993255,MW,41
M,W,0.04509948918017523,0.028856385073346022,MW,42
M,W,0.07257578015074662,-0.05650419162160832,MW,43
M,W,0.11452310540434042,0.21518416866807333,MW,44
M,B,-0.6228920634944357,-0.5214910754092539,MB,45
M,W,0.5120376783716393,0.4250805232524316,MW,46
M,B,0.3526992717163182,-0.03680577480111219,MB,47
M,W,-0.21279703098844482,-0.09255202628960989,MW,48
M,B,0.21801696034867837,0.03125565795584312,MB,49
F,W,-0.7477474108386218,-0.7189850460609735,FW,50
M,W,0.13958011075610893,0.07923276048144491,MW,51
M,B,1.8078943696780108,1.2641964899448324,MB,52
F,W,-0.19873654362560642,-0.1618935633366767,FW,53
M,B,0.0017226661336046112,-0.38589822101389315,MB,54
M,W,0.32684558916495066,0.04892029488513722,MW,55
M,W,0.611724295359168,0.5896411074686544,MW,56
F,B,-0.5276294538440617,-0.6304305157406018,FB,57
M,W,-0.05222511748062003,0.11207436740010043,MW,58
F,W,-0.7652284212553068,-0.3800243832120287,FW,59
M,W,0.7433177412325301,0.38015880783002054,MW,60
M,W,-0.14067591232582352,-0.09250148916467363,MW,61
M,W,0.2990106971614425,0.24122840653447467,MW,62
M,B,0.06880351252688467,0.060276368286703026,MB,63
F,W,-1.810958665567743,-1.4719359387842277,FW,64
F,B,-0.5647783516166239,-0.7766847756683158,FB,65
F,W,-0.28642362076010347,-0.2048760520883348,FW,66
F,B,-1.0904982340551002,-1.3419457735068452,FB,67
M,B,1.0032747510825126,0.807537745970679,MB,68
M,W,0.24514497965365878,0.11120816526689327,MW,69
F,B,-1.2008710011208534,-1.2700138364155744,FB,70
M,B,0.23420336489120355,0.02740073837407017,MB,71
M,W,-0.39701988349122663,-0.24296630199089264,MW,72
M,W,-0.7396048210350893,-0.6441976245506127,MW,73
M,W,0.587577135113106,0.4883781194890858,MW,74
M,B,-0.12138496464740377,-0.2745989433884778,MB,75
F,W,-0.6758998413794841,-0.48776529387857426,FW,76
F,B,-2.3678296098033513,-2.0490946824648804,FB,77
F,W,0.23330164406712978,-0.2643276607730083,FW,78
M,W,-0.516411211092335,-0.440105502466672,MW,79
M,B,0.020008064999754285,-0.217423823345816,MB,80
M,W,0.08733216271469846,-0.1284894054552556,MW,81
F,W,-1.8764698992251383,-1.351924444485921,FW,82
M,W,-0.4878663775561166,-0.38681270663049744,MW,83
F,W,0.29870498833239767,0.21645042637302353,FW,84
M,W,0.19094107321812823,0.3119902809270845,MW,85
M,B,0.4259571788678488,0.19966342559069403,MB,86
M,W,-0.9198072014979649,-0.7229174640457461,MW,87
M,B,-0.696816521545109,-0.8079592229031747,MB,88
M,W,-0.31946369196215,-0.2091277133388521,MW,89
F,W,0.391102375241215,-0.016386508546483103,FW,90
M,B,1.492323045981036,1.2428145804989696,MB,91
F,B,-1.6434241634311162,-1.5817273229441244,FB,92
F,B,-1.5435415878597158,-1.9911586085518507,FB,93
M,B,1.8697916022981835,1.4976145185775238,MB,94
M,W,0.016361315183683847,-0.05387589667133603,MW,95
F,W,-0.18513669313218556,-0.1599029328565512,FW,96
M,W,0.4867195976529214,0.45681402848693964,MW,97
M,W,-0.5173885368944314,-0.39232706523506544,MW,98
F,B,-0.7651724672896271,-1.2848943941048527,FB,99
M,W,-0.897488567766805,-0.7702249552251097,MW,100
F,W,-1.1743312891766104,-1.2154715146608865,FW,101
M,W,0.419684860465873,0.30899154559242575,MW,102
M,B,-0.6922270275580964,-0.7500146062086296,MB,103
F,W,-2.4616983191226116,-2.2282627304311737,FW,104
M,W,0.15487941339064748,0.18822997412259035,MW,105
M,B,-0.4629215276717453,-0.48000708018128707,MB,106
M,W,-0.17836425586770238,-0.2701205420629849,MW,107
M,W,-1.1048258882194661,-0.8309030474408715,MW,108
F,W,-0.09748768071366491,-0.16643669200427563,FW,109
M,W,0.35912911957253707,0.19266430024619788,MW,110
M,B,-0.7633998324956468,-0.7882051566760523,MB,111
M,B,0.5372987586240787,0.5194326316487972,MB,112
M,B,0.4868046216971656,0.24750243300553362,MB,113
M,B,0.4274355464350543,0.36608000260595236,MB,114
F,W,-1.6169315760249732,-1.4455840396815924,FW,115
M,B,-0.39776958448725186,-0.43547017112049646,MB,116
M,W,-0.8437828617223674,-0.49432542921656575,MW,117
F,B,1.6652591619113095,1.2333494663236872,FB,118
M,W,0.25530809275655647,0.09854730826399141,MW,119
F,B,-0.770721411687096,-0.9370158834275718,FB,120
M,W,0.1877915561166585,0.30568344516280793,MW,121
M,W,-0.39064822689015866,-0.40783501246235354,MW,122
M,B,0.7215678310693325,0.5018254486888227,MB,123
M,W,-1.2402204804145813,-1.0036701609970549,MW,124
M,W,-0.35706316323627424,-0.3196470370894821,MW,125
F,W,-1.5212564609889903,-1.4460013824020346,FW,126
F,W,-0.7460097605576216,-0.8671468168943813,FW,127
M,W,-0.055626568074458496,-0.09547669504234957,MW,128
F,W,-0.9703019143727967,-0.6846856229506411,FW,129
